lockitver|DO NOT DELETE THIS LINE! 2896
ip_dplmc_info|Diplomacy Mod
ip_dplmc_info_text|Die Diplomacy Mod fügt dem Spiel einige neue Aspekte hinzu. Die meisten neuen Funktionen können über den Minister und einige neu eingefügte Angestellte genutzt werden: Ein Kämmerer, ein Schultheiß und ein Kanzler. Der Spieler hat die Möglichkeit bei Erhalt des ersten eigenen Dorfes einen Kämmerer zu ernennen. Der Schulheiß steht mit der ersten eigenen Burg und der Kanzler mit der ersten eigenen Stadt zur Verfügung. Wenn ein Angestellter wieder entlassen wird, kann dieser auf Wunsch durch einen Ehepartner mit guten Verbindungen oder einen der Wanderer, die durch die Tavernen von Calradia ziehen, wieder zurück geholt werden.^^Außerdem bietet die Mod weitere neue Funktionen, die vom Lager-Menü aus gesteuert werden können.^^Dieses Modul verwendet Diplomacy Version 4.0 (October 1, 2011).
ip_dplmc_autoloot|Automatisches Aufsammeln
ip_dplmc_autoloot_text|Einstellungen zum automatischen Aufsammeln können im Lager-Menü vorgenommen werden. Diese Funktion erlaubt den Begleitern des Spielercharakters (Helden mit Namen, nicht die gewöhnlichen Soldaten), automatisch nach einer Schlacht aus den erbeuteten Gegenständen, neue Ausrüstungs-Gegenstände auszuwählen. Um dies zu ermöglichen, muss eine der folgenden Bedingungen zutreffen: Ein beliebiger Begleiter hat die Fertigkeit Plündern mindestens auf Stufe 2 oder ein beliebiger Begleiter hat die Fertigkeit Inventarverwaltung mindestens auf Stufe 3 oder der Spielercharakter hat die Fertigkeit Inventarverwaltung mindestens auf Stufe 2.
ip_dplmc_autosell|Automatisches Verkaufen
ip_dplmc_autosell_text|Die Funktion automatisches Verkaufen erlaubt es, mehrere Gegenstände auf einmal an einen Händler zu verkaufen, anstatt alle einzeln anzuklicken. Einstellungen zum automatischen Verkauf können im Stadt-Menü vorgenommen werden. Hier wird festgelegt, welche Warentypen für den automatischen Verkauf selektiert werden sollen (z.B. könnte festgelegt werden, dass keine Pferde automatisch verkauft werden dürfen) und eine Preisgrenze (z.B. könnte festgelegt werden, dass niemals Gegenstände automatisch verkauft werden dürfen, die mehr als 200 Dinar wert sind).^^ Es gibt zwei direkte Wege, einen automatischen Verkauf abzuschließen. Wenn Sie mit einem Händler für Pferde, Rüstungen oder Waffen in der Stadt sprechen, gibt es einen extra Dialog, Gegenstände eines bestimmten Typs zu verkaufen. Außerdem gibt es beim Besuch einer Stadt im Marktplatz-Menü eine Option, Gegenstände automatisch in der Stadt zu verkaufen.^^ Sollten Sie die Autosell Funktion bereits aus anderen Mods kennen, beachten Sie, dass Gegenstände nur von Ihrem aktuellen Inventar, unter Beachtung der festgelegten Rahmenbedingungen verkauft werden. Ausgerüstete Gegenstände werden niemals verkauft, die ersten 3 Gegenstände im Inventar werden ebenfalls niemals verkauft. Außerdem werden Gegenstände ausgelassen, die vom Spiel als Ihre persönliche Ausrüstung erkannt werden (Viele Spieler bewahren verschiedene Sets an Ausrüstung im Inventar auf). Unabhängig, ob ausgerüstet, oder nicht, der automatische Verkauf beinhaltet niemals Ihren besten Bogen, die beste Armbrust, Rüstung, Helm, Stiefel oder Handschuhe. Wird ein Bogen als Ihre persönliche Ausrüstung erkannt, werden außerdem die drei besten Pfeil-Köcher behalten, so wie die drei besten Bolzen, wenn eine Armbrust erkannt wurde. Bei Schilden, Einhand- und Zweihandwaffen, Stangenwaffen und Pferden werden die 2 besten Gegenstände behalten. Ihre besten drei Wurfwaffen werden ebenfalls behalten.
ip_morale|Moral
ip_morale_text|Die Moral repräsentiert die Fähigkeit und Bereitschaft der Soldaten eines Trupps, die Ausdauer, Tapferkeit und Disziplin abzurufen, die sie für die Anstrengungen von Marsch und Gefecht benötigen. Dies ist nicht gleichbedeutend mit der Zufriedenheit der Truppen. Selbst Elitesoldaten können murren und sich über die Entbehrungen auf Feldzügen beklagen – nur um dann ihren Mann zu stehen, wenn die Pfeile fliegen. Wenn ein Kommandant seinen Männern alles gibt, nach was es ihnen verlangt, kann es andererseits aber auch passieren, dass sie zu weich werden und beim Angriff des Feindes kneifen.^^ Den größten Einfluss hat die Moral auf das Verhalten eines Trupps in der Schlacht: Sie legt fest, wie aggressiv die Soldaten den Feind angreifen, und wie wahrscheinlich sie Fersengeld geben, wenn sie den Eindruck gewinnen, dass sich das Schlachtenglück gegen sie wendet. Die Moral beeinflusst auch die Marschgeschwindigkeit eines Trupps: Weniger motivierte Soldaten marschieren langsamer, da sie nicht an ihre körperlichen Grenzen gehen, und rasten außerdem häufiger, damit Nachzügler aufschließen können.  Trupps mit sehr niedriger Moral verlieren schließlich auch Soldaten Fahnenflucht.^^ Einige die Moral betreffende Faktoren sind intuitiv: Ein charismatischer Kommandeur mit einer Reputation für Siege im Gefecht kann seinen Mannen mehr Selbstvertrauen einflößen. Anführer, die ihren Soldaten genug und ausgewogen zu essen geben, und sie rechtzeitig bezahlen, zeigen so, dass ihnen das Wohlergehen ihres Trupps am Herzen liegt und sie ihre Soldaten mit geringerer Wahrscheinlichkeit ins Verderben führen.^^ Andere Faktoren sind dagegen weniger intuitiv – besonders jene, die sich auf den Gruppenzusammenhalt eines Trupps beziehen. Angehörige eines kleinen, verschworenen Trupps kämpfen beispielsweise oft verbissen gegen einschüchternde Übermachten, um vor ihren Kameraden keine Feigheit zu zeigen. Der Zusammenhalt eines großen Trupps dagegen kann schwächer ausfallen, da der Kommandeur weniger Zeit hat, seine Männer zu beaufsichtigen, sich ihre Sorgen anzuhören und ihre Streite zu schlichten. Häufige Gefechte steigert die Verbundenheit der Soldaten untereinander, während lange Phase ohne Kämpfe die Truppen langweilt und sie zänkisch macht.^^ Der Moralbericht, verfügbar über die 'Berichtsschaltfläche' gibt Euch einen Überblick über die Faktoren, die die Moral Eurer Männer beeinflussen.
ip_economy|Wirtschaft
ip_economy_text|Städte und Dörfer in Calradia brauchen eine breite Vielfalt an Gütern für ihre Bevölkerung um Gesundheit und Produktivität zu erhalten. Das wichtigste ist die Nahrung. Korn ist die Haupternte von Calradia, aber die Menschen brauchen auch Fette und Proteine in Form von Fleisch, Fisch oder Käse. Es ist fast so viel Arbeit, Fleisch zu bewahren, als es eigentlich erst zu produzieren. Salz ist also auch sehr gefragt. Nach der Nahrung kommt Kleidung: schwere Wolle, leichtere Leinen, oder luxuriöses Samt. Abschließend brauchen die Menschen Werkzeuge bei ihrer Arbeit: Eisen, Kermaik, Leder und, natürlich, Waffen, Rüstungen und Kriegspferde.^^Die meisten ländlichen Produkte werden in Dörfern produziert, während Handwerker in Städten auf hergestellte oder handwerkliche Güter, wie Stoffe oder Eisen spezialisiert sind. Außerdem können verschiedene Ressourcen in verschiedenen Teilen des Landes gefunden werden. Folglich ist Handeln in Calradia der Schlüssel zum Erfolg -- zwischen den Dörfern und den Städten und zwischen den großen Städten.^^Wenn der Handel fließt, werden Güter verfügbar und bezahlbar sein, die Bevölkerung im Zentrum wird Gesund und Munter sein und Migranten werden von naheliegenden Regionen herbeistürmen. Das Zentrum wird mehr prduzieren, konsumieren und fähig sein, mehr Steuern für die Lehensherren zu bezahlen. Wenn der Handel ausdorrt werden Städte und Dörfer ihre Arbeiter fliehen sehen, um anderswo nach Arbeit zu suchen und die wirtschaftliche Aktivität wird zu einem Stillstand tendieren. Folglich ist es im Interesse der Herrscher, die Handelsrouten vor den Gefahren des Krieges und Banditentums zu schützen. Ein gerissener Händler jedoch, dürfte nach Städten suchen, welche isoliert vom Rest des Landes sind, damit er oder sie einen kleinen Gewinn aus den resultierenden Preisungleichheiten ziehen kann.^^Weil Dörfler normalerweise planen ihre Güter zum Stadtmarkt zu bringen, werden Dorfmärkte eher ruhigere Plätze sein und Dörfler werden billig einkaufen und teuer verkaufen. Ernsthafte Händler werden in Städten bleiben, um Gewinn zu machen, obwohl manche Truppen sich entscheiden könnten einen schnellen Halt in Dörfern zu machen um Vorräte aufzufüllen.^^Ein Spieler, der mehr über die Faktoren erfahren will, die den Wohlstand einer Region beeinflussen, kann mit dem Gildenmeister der lokalen Stadt sprechen. Andere Informationen können von den Bürgern gesammelt werden, obwohl sie nicht viel über die Dinge wissen dürften, die über ihr eigenes, spezielles Handwerk gehen.
ip_courtship|Brautwerbung
