lockitver|DO NOT DELETE THIS LINE! 2896
qstr_Next_Page|Nächste Seite
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?war:ist} in der Wildnis und {reg4?sie:er} {reg3?war:sollte im Moment} in der Nähe von {s3} {reg3?:sein}.
qstr_Game_Rules:^|Spielregeln:^
qstr_0|0
qstr_Show_game_rules|Spielregeln zeigen
qstr_Continue...|Weiter ...
qstr_Candidate_#1:_{s1}|Kandidat #1: {s1}
qstr_Candidate_#2:_{s1}|Kandidat #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} von {s4} wünscht einen neuen Marschall auszuwählen und lädt seine Vasallen zur Beratung ein. {s1} und {s2} sind die wahrscheinlichen Kandidaten.
qstr_Who_do_you_wish_to_s|Wen möchtet Ihr unterstützen?
qstr_{s1}_gives_his_suppo|{s1} unterstützt {s2}.
qstr_Number_of_Supporters|Anzahl der Unterstützer: {reg0}
qstr_{s2}_has_heard_his_v|{s2} hat den Rat seiner Vasallen angehört. Er wählt {s1} als Marschall von {s3}.
qstr_Action|Handeln
qstr_Mount|Aufsitzen
qstr_Attack_Type|Angriffsart
qstr_Stand_Ground|Standhaft bleiben
qstr_Charge|Angreifen
qstr_Follow_Me|Mir nach
qstr_Hold_This_Position|Position halten
qstr_Spread_Out|Ausfächern
qstr_Stand_Closer|Zusammenrücken
qstr_Fall_Back|Zurückfallen
qstr_Advance|Vorrücken
qstr_Dismount|Absitzen
qstr_Fire_At_Will|Feuer frei
qstr_Hold_Your_Fire|Feuer einstellen
qstr_Use_Blunt_Weapons|Stumpfe Waffen einsetzen
qstr_Use_Any_Weapon|Beliebige Waffe einsetzen
qstr_Ready|Bereit
qstr_Wounded|Verwundet
qstr_Dead|Tot
qstr_Number_of_men_knocke|Anzahl der niedergeschlagenen Männer: {reg1}
qstr_Number_of_men_left:_|Anzahl der verbleibenden Männer: {reg1}
qstr_Opponents_Beaten:_{r|Geschlagene Gegner: {reg1}
qstr_Opponents_Remaining:|Verbleibende Gegner: {reg1}
qstr_Remain_in_retirement|Im Ruhestand bleiben.
qstr_Go_back_to_the_adven|Zurück ins Abenteurerleben.
qstr_You_have_retired_at_|Ihr seid bei Stufe {reg4} nach {reg5} Tagen des Abenteuerns in den Ruhestand gegangen.
qstr_Effect_on_Score|Einfluss auf Punktestand
qstr_Settlements_owned_by|Siedlungen in Eurem Besitz: {reg0}
qstr_Friendly_Settlements|Freundlich gesinnte Siedlungen: {reg0}
qstr_Hostile_Settlements:|Feindlich gesinnte Siedlungen: {reg0}
qstr_Friendly_Lords:_{reg|Freundlich gesinnte Fürsten: {reg0}
qstr_Enemy_Lords:_{reg0}|Feindlich gesinnte Fürsten: {reg0}
qstr_Victories:_{reg0}|Siege: {reg0}
qstr_Defeats:_{reg0}|Niederlagen: {reg0}
qstr_Quests_Completed:_{r|Quests vollendet: {reg0}
qstr_Companions_Found:_{r|Gefundene Gefährten: {reg0}
qstr_Companions_Lost/Depa|Verlorene/fortgegangene Gefährten: {reg0}
qstr_Wealth:_{reg0}_denar|Reichtum: {reg0} Dinare
qstr_Inventory:_{reg0}_de|Inventar: {reg0} Dinare
qstr_Renown:_{reg0}|Ansehen: {reg0}
qstr_Experience:_{reg0}|Erfahrung: {reg0}
qstr_Days_Passed:_{reg0}|Verstrichene Tage: {reg0}
qstr_Difficulty:_{reg0}%|Schwierigkeitsgrad: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|GESAMTPUNKTE: {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|Keine
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Gehilfen:
qstr_You_paid_{reg0}_cash|Ihr musstet {reg0} Dinar abtreten um Schulden zu begleichen
qstr_Earlier_cash:|Goldsäckel, alt:
qstr_New_cash:|Goldsäckel, neu:
qstr_Done|Fertig
qstr_Name:_{s1}^Level:_{r|Name: {s1}^Stufe: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^Gesundheit: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|Aufrüstung der Waffen:
qstr_Apply_to_everyone|Einstellung für alle Helden übernehmen
qstr_Upgrade_armor_|Rüstung verbessern 
qstr_Upgrade_horse_|Pferd verbessern 
qstr_Select_your_domestic|Wählt Eure neue Innenpolitik
qstr_Centralization:|Monarchie:
qstr_Aristocracy:|Aristokratie:
qstr_Serfdom:|Leibeigenschaft:
qstr_Troop_quality:|Truppenqualität:
qstr_Mercantilism:|Merkantilismus:
qstr_High_centralization_|Starke Monarchie verschafft dem König höhere Steuern, die Vasallen haben jedoch große Verluste bei Steuereinnahmen. Die Beziehung zu den Vasallen wird dadurch beeinträchtigt.
qstr_High_aristocracy_wil|Hohe Aristokratie verbessert die Beziehung des Königs zu seinen Vasallen. Als Fürsten adeligen Geblüts erhalten diese das Recht größere Armeen auszuheben. Der Handel im Königreich nimmt dadurch ab.
qstr_High_serfdom_reduces|Viel Leibeigenschaft senkt die Steuer-Ineffizienz im Königreich und Vasallen können größere Armeen ausheben. Die Truppen des Königreichs haben jedoch eine schlechtere Moral.
qstr_High_troop_quality_i|Hohe Truppenqualität verbessert die Kampfkraft der Armee, die Zahl der Soldaten nimmt jedoch ab.
qstr_Mercantilistic_polic|Merkantilistische Politik fördert hohe Exporte, schränkt jedoch Importe ein, der Staat übt hohen Einfluss auf die Industrie aus.
qstr_Cancel|Abbrechen
qstr_Dictate_the_peace_te|Diktiert Bedingungen für den Frieden
qstr_Select_the_castle_an|Wählt Eure Forderungen. Burgen und Gold können beliebig gefordert werden.
qstr_1000_denars|1000 Dinar
qstr__Faction_Relations_R| Bericht der diplomatischen Beziehungen 
qstr__Return_to_menu_| Zurück zum Menü 
qstr_Your_kingdom|Eigenes Reich
qstr_Player^Relation|Spieler^Beziehungen
qstr_War|Krieg
qstr_Casus_Belli|Provokation
qstr_Peace|Frieden
qstr_Truce|Waffenruhe
qstr_Alliance|Bündnis
qstr_Defense|Verteidigungs-Pakt
qstr_Trade|Handels-Abkommen
qstr_{reg59?{reg59}_days:|{reg59?{reg59} Tage:}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|Ergeben
qstr_Devoted|Loyal
qstr_Fond|Zugetan
qstr_Gracious|Gnädig
qstr_Friendly|Freundlich
qstr_Supportive|Wohlwollend
qstr_Favorable|Einladend
qstr_Cooperative|Kooperativ
qstr_Accepting|Duldend
qstr_Indifferent|Gleichgültig
qstr_Suspicious|Misstrauisch
qstr_Grumbling|Mürrisch
qstr_Hostile|Feindlich
qstr_Resentful|Missgünstig
qstr_Angry|Wütend
qstr_Hateful|Hasserfüllt
qstr_Revengeful|Rachsüchtig
qstr_Vengeful|Verzehrt von Rachsucht
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Zentren
qstr_{reg62}_Caravans|{reg62} Karawanen
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} Gef.) :}Fürsten
qstr_How_will_your_male_v|Welchen Titel sollen Eure männlichen Vasallen tragen?
