dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_award_fief_to_vassal_defer:close_window|Как пожелаете, {мой господин/моя госпожа}. Вы можете решить это позже.
dlga_award_fief_to_vassal_2:close_window|Как пожелаете, {господин/госпожа}. Теперь {reg6?Я:{reg7?Вы:{s11}}} новый владелец {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} прозябает без хозяина. Кого мне поставить за главного?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Прошу Вас, {s65}, мне бы хотелось оставить {s1} себе. (феоды: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} отныне принадлежит вам. (феоды: {s0})
dlga_center_captured_rebellion_2:close_window|Хммм. Ладно, {playername}. Я высоко ценю ваш совет. Теперь {reg6?Я:{reg7?Вы:{s11}}} новый владелец {s1}.
dlga_start:fighter_talk|День добрый! Мы оттачиваем здесь свое боевое мастерство и устраиваем тренировочные бои. Похоже, тебе тоже не помешало бы позаниматься. Присоединяйся к нам, и мы покажем тебе пару трюков. А если потребуются объяснения по технике боя - спрашивай, постараюсь рассказать все, что знаю.
dlga_start:fighter_talk.1|В чем желаешь попрактиковаться?
dlga_fighter_pretalk:fighter_talk|Скажи-ка, в чем ты желаешь поупражняться?
dlga_fighter_talk:fighter_talk_train_attack|Я хочу отработать атаку.
dlga_fighter_talk:fighter_talk_train_parry|Я хочу отработать блоки оружием.
dlga_fighter_talk:fighter_talk_train_combat|Давайте немного потренируемся в бою.
dlga_fighter_talk:close_window|[Уйти]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Превосходно! Существуют четыре основных направления атаки. Это удары сверху, справа, слева и выпад. А теперь я скажу, в каком направлении бить, и ты постараешься выполнить удар правильно. ^^(Чтобы выбрать направление удара, передвигайте мышь, зажав левую кнопку. Например, если нужно выполнить удар сверху, передвиньте мышь вверх, одновременно нажав левую кнопку. Значки на экране помогут вам выбрать правильное действие.)
dlga_fighter_talk_train_attack_2:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Вообще-то я хочу заняться чем-нибудь другим.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|В отличие от щита, оружие может блокировать лишь одну атаку с определенного направления. Например, если ты блокируешь удар сверху, то отразишь именно удар сверху, но тебя по-прежнему могут поразить удары с боков и выпады. ^^(Чтобы поставить блок, нажмите и удерживайте правую кнопку мыши.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Теперь я буду атаковать тебя с разных направлений и ждать, пока ты не поставишь соответствующий блок. Постарайся поставить нужный блок как можно быстрее. ^^(Это упражнение легко выполнять с настройкой "автоматическое направление блока", которая включена по умолчанию. Если в меню настроек изменить контроль направления защиты на "По движению мыши" или "С клавиатуры", то придется выбирать направление блока самостоятельно. Это труднее, но интереснее. В таком случае это упражнение может оказаться весьма полезным.)
dlga_fighter_talk_train_parry_3:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Тренировочный бой - прекрасное средство подготовиться к настоящему сражению. Мы будем драться, не стараясь убить друг друга, пока один из нас не упадет на землю. Конечно, так можно получить синяки, но это лучше, чем погибнуть от меча в первом же бою.
dlga_fighter_talk_train_combat_2:close_window|Давай начнем тренировку.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Вообще-то я хочу выбрать кое-что другое.
dlga_start:fighter_parry_try_again|Хорошо. У тебя получается отражать мою атаку. Возможно, тебе захочется повторить упражнение, но делать все быстрее. Повторить?
dlga_start:fighter_parry_try_again.1|Ну что, не очень-то получается? (Помните - для постановки блока нужно нажимать и удерживать правую кнопку мыши.) Повторить?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Да, давай попробуем еще раз.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Нет. Мне кажется, пока хватит.
dlga_start:fighter_parry_warn|Эй, дружище! Мы занимаемся защитой! Тебе нужно блокировать мои атаки, а не нападать на меня.
dlga_fighter_parry_warn:fighter_talk_train_parry|Извини. Давай начнем заново.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Извини. Мне нужно прервать занятие.
dlga_fighter_talk_leave_parry:close_window|Ладно, как скажешь.
dlga_start:fighter_combat_try_again|Ну что, не очень-то получается? Не переживай и постарайся не допускать таких ошибок в будущем. Хочешь повторить?
